generation,rank,safety,creativity,satisfaction
4,3,0.70691,0.54203,0.3383
5,1,0.8524,0.5468,0.3305
5,1,0.58865,0.62047,0.34754
5,1,0.83888,0.60598,0.35462
5,1,0.78955,0.53511,0.36558
5,1,0.70165,0.55026,0.36636
5,2,0.67205,0.49314,0.35614
5,2,0.73527,0.55075,0.34126
5,2,0.76499,0.56218,0.33558
5,2,0.81774,0.50485,0.31036
5,2,0.5236,0.56771,0.34652
5,2,0.55827,0.57244,0.34487
5,2,0.79844,0.59515,0.31765
5,2,0.71385,0.53942,0.34256
5,2,0.81195,0.55454,0.33706
5,2,0.76434,0.56159,0.34076
5,2,0.72095,0.57863,0.33698
5,2,0.71258,0.59873,0.33865
5,3,0.59892,0.5526,0.3389
5,3,0.77212,0.48719,0.14631
5,3,0.6108,0.59264,0.33569
6,1,0.8524,0.5468,0.3305
6,1,0.58865,0.62047,0.34754
6,1,0.83888,0.60598,0.35462
6,1,0.78955,0.53511,0.36558
6,1,0.70165,0.55026,0.36636
6,2,0.67205,0.49314,0.35614
6,2,0.73527,0.55075,0.34126
6,2,0.76499,0.56218,0.33558
6,2,0.81774,0.50485,0.31036
6,2,0.5236,0.56771,0.34652
6,2,0.55827,0.57244,0.34487
6,2,0.79844,0.59515,0.31765
6,2,0.71385,0.53942,0.34256
6,2,0.81195,0.55454,0.33706
6,2,0.76434,0.56159,0.34076
6,2,0.72095,0.57863,0.33698
6,2,0.71258,0.59873,0.33865
6,2,0.69726,0.49424,0.35544
6,2,0.78073,0.55803,0.32909
6,2,0.81542,0.55028,0.33081
7,1,0.8524,0.5468,0.3305
7,1,0.58865,0.62047,0.34754
7,1,0.83888,0.60598,0.35462
7,1,0.78955,0.53511,0.36558
7,1,0.70165,0.55026,0.36636
7,2,0.67205,0.49314,0.35614
7,2,0.81774,0.50485,0.31036
7,2,0.79844,0.59515,0.31765
7,2,0.81195,0.55454,0.33706
7,2,0.71258,0.59873,0.33865
7,2,0.69726,0.49424,0.35544
7,2,0.81542,0.55028,0.33081
7,2,0.8022,0.58261,0.34602
7,2,0.66948,0.5862,0.35093
7,3,0.5236,0.56771,0.34652
7,3,0.72095,0.57863,0.33698
7,3,0.80089,0.38462,0.32639
7,3,0.76804,0.56649,0.29974
7,3,0.71385,0.53942,0.34256
7,3,0.55827,0.57244,0.34487
8,1,0.8524,0.5468,0.3305
8,1,0.58865,0.62047,0.34754
8,1,0.83888,0.60598,0.35462
8,1,0.78955,0.53511,0.36558
8,1,0.70165,0.55026,0.36636
8,2,0.67205,0.49314,0.35614
8,2,0.81774,0.50485,0.31036
8,2,0.79844,0.59515,0.31765
8,2,0.81195,0.55454,0.33706
8,2,0.71258,0.59873,0.33865
8,2,0.69726,0.49424,0.35544
8,2,0.81542,0.55028,0.33081
8,2,0.8022,0.58261,0.34602
8,2,0.82499,0.56049,0.30808
8,2,0.73613,0.59189,0.35251
8,3,0.66948,0.5862,0.35093
8,3,0.80089,0.38462,0.32639
8,3,0.80787,0.54012,0.32312
8,3,0.78152,0.56411,0.30607
8,3,0.7539,0.40712,0.33131
